gene	SRR8309842	SRR8309843	SRR8309844
lcl|NZ_CP032667.1_cds_WP_000059111.1_1	3.4380341880341883	2.1787749287749287	1.0662393162393162
lcl|NZ_CP032667.1_cds_WP_000673464.1_2	3.5476839237057223	1.5567665758401452	1.1099000908265213
lcl|NZ_CP032667.1_cds_WP_000060112.1_3	3.3016759776536317	0.3687150837988827	0.8165735567970205
lcl|NZ_CP032667.1_cds_WP_000072067.1_4	3.454658385093168	1.4616977225672878	1.1254658385093168
lcl|NZ_CP032667.1_cds_WP_001317389.1_5	3.343137254901962	0.6936274509803921	1.0833333333333333
lcl|NZ_CP032667.1_cds_WP_000985549.1_6	3.611316113161132	1.0811808118081179	0.908979089790898
lcl|NZ_CP032667.1_cds_WP_000772934.1_7	3.0213089802130897	0.3074581430745814	0.634703196347032
lcl|NZ_CP032667.1_cds_WP_000174305.1_8	3.631884057971015	0.21159420289855072	0.9434782608695652
lcl|NZ_CP032667.1_cds_WP_000127091.1_9	3.2901023890784984	0.11035267349260523	0.7986348122866894
lcl|NZ_CP032667.1_cds_WP_001198722.1_10	3.205501618122977	0.05339805825242718	0.5550161812297735
lcl|NZ_CP032667.1_cds_WP_000705001.1_11	3.135770234986945	0.11401218450826806	0.8798955613577023
lcl|NZ_CP032667.1_cds_WP_000354284.1_12	3.491105955143078	0.09744779582366588	0.8546017014694509
lcl|NZ_CP032667.1_cds_WP_001340434.1_13	3.307981220657277	0.12300469483568074	0.7934272300469484
lcl|NZ_CP032667.1_cds_WP_010723257.1_14	3.436698717948718	0.6314102564102564	0.9831730769230768
lcl|NZ_CP032667.1_cds_WP_000620888.1_15	3.0660660660660666	3.756756756756757	3.918918918918919
lcl|NZ_CP032667.1_cds_WP_001243437.1_16	3.480676328502416	1.3647342995169085	1.541062801932367
lcl|NZ_CP032667.1_cds_WP_001243431.1_17	3.261072261072261	0.3076923076923077	0.8041958041958042
lcl|NZ_CP032667.1_cds_WP_001279752.1_18	3.4524669073405536	0.42057761732851984	1.0836341756919374
lcl|NZ_CP032667.1_cds_WP_001300779.1_19	3.2105997210599715	0.1087866108786611	0.8103207810320779
lcl|NZ_CP032667.1_cds_20	3.2838589981447126	0.10327767470624613	0.8311688311688312
lcl|NZ_CP032667.1_cds_21	3.2736196319018407	0.1312883435582822	0.8331288343558282
lcl|NZ_CP032667.1_cds_WP_001013540.1_22	3.2662192393736023	1.1118568232662192	0.8131991051454138
lcl|NZ_CP032667.1_cds_WP_001087145.1_23	3.2470862470862474	0.1649184149184149	0.8857808857808858
lcl|NZ_CP032667.1_cds_WP_000828527.1_24	3.1499330655957163	0.1713520749665328	0.8547523427041499
lcl|NZ_CP032667.1_cds_WP_000511289.1_25	3.088888888888889	0.26666666666666666	0.7822222222222223
lcl|NZ_CP032667.1_cds_WP_000703959.1_26	3.022988505747126	0.5057471264367817	0.913793103448276
lcl|NZ_CP032667.1_cds_WP_001113432.1_27	2.9256198347107434	0.13774104683195593	0.6942148760330579
lcl|NZ_CP032667.1_cds_WP_000148061.1_28	3.060240963855421	0.6305220883534136	1.3333333333333333
lcl|NZ_CP032667.1_cds_WP_000828746.1_29	3.2852320675105484	0.08438818565400844	0.6573839662447257
lcl|NZ_CP032667.1_cds_WP_001054909.1_30	0.0	0.0	0.0
lcl|NZ_CP032667.1_cds_WP_001308150.1_31	1.440251572327044	0.031446540880503145	0.34591194968553457
lcl|NZ_CP032667.1_cds_WP_000454295.1_32	2.9621993127147768	0.09965635738831616	0.6116838487972509
lcl|NZ_CP032667.1_cds_WP_001300753.1_33	0.0	0.0	0.0
lcl|NZ_CP032667.1_cds_WP_000168475.1_34	3.435760805210184	0.9934872705743044	1.5891059798697451
lcl|NZ_CP032667.1_cds_WP_001181706.1_35	3.1202749140893467	0.7319587628865979	1.5876288659793814
lcl|NZ_CP032667.1_cds_WP_000633668.1_36	3.67005076142132	0.6446700507614214	1.1099830795262269
lcl|NZ_CP032667.1_cds_WP_001295243.1_37	3.393878908848969	0.16633399866932802	0.7930805056553559
